Time, Status, Device_ID, Input_PPM, Output_PPM, Efficiency, Flow_Rate, Temp, Pressure, Energy_Cons, Runtime
2/25/2026, 10:18:25 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:25 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:25 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:25 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:25 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:25 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:26 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:26 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:26 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:26 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:26 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:26 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:26 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:26 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:26 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:26 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:27 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:27 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:27 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:27 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:27 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:27 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:27 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:27 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:27 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:27 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:28 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:28 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:28 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:28 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:28 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:28 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:28 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:28 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:28 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:28 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:29 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:29 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:29 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:29 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:29 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:29 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:29 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:29 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:29 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:29 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:30 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:30 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:30 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:30 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:30 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:30 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:30 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:30 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:30 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:30 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:31 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:31 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:31 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:31 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:31 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:31 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:31 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:31 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:31 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:31 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:32 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:32 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:32 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:32 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:32 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:32 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:32 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:32 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:32 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:32 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:33 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:33 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:33 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:33 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:33 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:33 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:33 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:33 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:33 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:34 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:34 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:34 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:34 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:34 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:34 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:34 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:34 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:34 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:34 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:35 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:35 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:35 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:35 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:35 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:35 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:35 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:35 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:35 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:35 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:36 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:36 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:36 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:36 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:36 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:36 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:36 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:36 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:36 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:36 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:37 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:37 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:37 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:37 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:37 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:37 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:37 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:37 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:37 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:37 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:38 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:38 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:38 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:38 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:38 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:38 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:38 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:38 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:38 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:38 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:39 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
2/25/2026, 10:18:39 AM,warning,ABS-07,148000,19240,87,2550,55.5,1.15,0.42,5001
2/25/2026, 10:18:39 AM,error,ABS-07,165000,36300,78,2600,65,1.25,0.55,5002
2/25/2026, 10:18:39 AM,operating,ABS-07,135000,10800,92,2500,45,1.02,0.3,5000
