Time,Status,Device_ID,Input_PPM,Output_PPM,Efficiency,Temp,Pressure
2/9/2026, 10:48:56 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:56 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:56 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:56 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:56 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:56 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:56 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:57 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:57 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:57 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:57 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:57 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:57 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:57 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:57 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:57 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:57 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:58 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:58 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:58 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:58 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:58 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:58 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:58 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:58 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:58 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:58 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:59 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:59 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:59 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:59 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/9/2026, 10:48:59 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/9/2026, 10:48:59 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/9/2026, 10:48:59 AM,operating,ABS-01,145000,14500,90,42.5,1.05
